Fecha y hora de respuesta;2. País o ciudad de nacimiento:;3. Género:;4. Fecha de nacimiento (en formato DD/MM/AAAA):;5. ¿Cuál es el máximo nivel educativo que cursás o cursaste?;6. ¿Qué carrera de grado cursás o cursaste?;7. ¿Qué carrera de posgrado cursás o cursaste?;8. ¿Trabajaste la semana pasada al menos una hora?;9. En ese trabajo...;10. ¿A qué se dedica o qué produce la empresa/establecimiento en el que trabajás?;11. ¿Desde qué fecha (DD/MM/AAAA) trabajás en este puesto?;12. ¿Cómo se llama tu ocupación?;"13. ¿Alguna vez (en este trabajo o en otra actividad) trabajaste con&nbsp;datos&nbsp;(recolectando, limpiando, analizando, etc.)?";14. ¿Cuántos años trabajaste con datos?(Si es menos de 1 registrá 0.);15. ¿Cuáles de las siguientes herramientas utilizaste? (indicar todas las utilizadas)- Excel- SPSS- SAS- R- Python- Otras (indicar cúales);16. ¿Alguna vez (en este trabajo o en otra actividad) trabajaste haciendo tareas de programación?;17. ¿Durante cuántos años? (Si no aplica ingresar 0);"18. ¿Con qué lenguajes? (Indicar todos los que apliquen)-&nbsp;Python- Ruby- PHP- Java- JavaScript- SQL- C++- Otros (indicar cuáles)";19. ¿Qué creés que va a pasar en el curso de Data Science?;20. ¿Qué te gustaría que pase?
;;;;;;;;;;;;;;;;;;;
10-08-2022 00:23:31;;;;;;;;;;;;;;;;;;;
10-08-2022 00:09:49;Argentina;Masculino;07/04/1991;Universitario;Contador Publico;No Aplica;Sí;Realice las tereas diarias;Movimiento de suelos y agropecuaria;07/05/2016;Trabajo Independiente;Sí;0;Excel;No;0;No Aplica;"Vamos aprender a manejar datos, interpretarlos y con una buena ""limpieza y depuración"", vamos a poder tomar decisiones en forma predictiva.";Poder manejar e interpretar grandes cantidades de datos y poder con diferentes analisis y herramientas, poder llegar a conclusiones.
09-08-2022 19:17:04;Colombia;Masculino;12/01/1999;Pregado;Ingeniería Industrial;Ninguna;Si;Soy Associate en PwC, trabajo en el equipo de adminsitración de datos de recursos Humanos;Consultorias mayormentte en auditoria, servicios tributarios y temas varios de Advisory ;20/05/2021;Associate;Actualmente trabajo como Associate en el equipo que administra la información de una empresa de 2000 empleados. empecé realizando novedades y validación de datos y también he realizado distintos tipos de analisís manejando principalmente Excel, Power Bi y Google Suit. ;1;Excel, Google Sheets, Google Forms, Power Bi, Power Query, Google Data Studio, Ui Path.;He desarrollado algunas rutinas de automatización en M o Power Query y Ui Path para automatizar algunas tareas.;1;M;Va a ser unn desafio interesante el organizar mis horarios laborales y combinanrlos con clases. Espero cumplir con el curso y acostumbrarme a usar python diarmiamente.;ETL, Pipelines, Web Scraping, Redes Neuronales
10-08-2022 00:08:39;General Roca;Masculino;20/01/1996;Secundario;Administracion de empresas;Ninguna;Si;No;Cosmetica y Belleza;01/08/2021;Encargado local ;Si generando la base de datos de este mismo local;0;Excel, Python;No;0;Ninguno;Va a terminar con muchas relaciones interpersonales y conocimiento;Me gustaria quedar satisfecho con los conocimientos
10-08-2022 00:10:21;Argentina;Masculino;25/01/97;Universitario;Actuario en economia;Null;Si;me pagan;Marketing;01/02/2022;Analista de modelado;Si;0;Excel, R, SAS;No;0;0;Aprender;Que aprenda
10-08-2022 00:10:23;Buenos Aires. Argentina;Masculino;18/02/2000;Universitario Pausado ;Lic. en Finanzas;0;Si 8hs 6 dias a la semana;Soy Encargado de un local gastroinomico;Restaurante vegano y gluten free;14/05/2022;Encargado de Turno;Solo con planillas de Excel;0;Excel;No;0;;;
;;;;;;;;;;;;;;;;;;;
09-08-2022 23:02:13;Argentina;Masculino;14/09/1984;Universitario completo;Licenciado en Ciencias Politicas ;Maestria en Politicas Publicas en UTDT, pero no la termine. Deje al 50%. ;Si;Si;Aerolinea, realiza transporte comercial de pasajeros y carga;01/08/2022;Analista de inteligencia de negocio ;Si, pero poco.;0;Excel, Python, Power BI, SQL;Si, pero poco.;0;Python, JavaScript, SQL y muy poco de PHP;Aprender modelos predictivos y automatizacion de procesos y tareas;Las que respondi en la preg. 19
10-08-2022 00:23:31;;;;;;;;;;;;;;;;;;;
