Marca temporal,Indica tu altura (en cm sin decimales),Indica tu peso (en kg sin decimales),Sexo con el que mas me identifico,Cuantas letras tiene tu nombre (indicar el numero entero en formato numerico)
16/12/2021 19:21:04,172,65,Varon,5
16/12/2021 19:21:07,190,83,Varon,5
16/12/2021 19:21:07,178,132,Varon,6
16/12/2021 19:21:18,177,80,Varon,8
16/12/2021 19:21:24,156,75,Mujer,5
16/12/2021 19:21:24,183,73,Varon,8
16/12/2021 19:21:25,168,68,Varon,6
16/12/2021 19:21:25,181,71,Varon,7
16/12/2021 19:21:26,185,80,Varon,8
16/12/2021 19:21:26,178,76,Varon,8
16/12/2021 19:21:28,160,62,Mujer,8
16/12/2021 19:21:29,174,71,Varon,7
16/12/2021 19:21:30,174,93,Varon,6
16/12/2021 19:21:31,183,98,Varon,6
16/12/2021 19:21:32,170,80,Varon,5
16/12/2021 19:21:34,163,67,Mujer,8
16/12/2021 19:21:39,168,60,Mujer,7
16/12/2021 19:21:41,173,64,Mujer,6
16/12/2021 19:21:43,176,86,Varon,7
16/12/2021 19:21:49,175,67,Varon,7
16/12/2021 19:21:53,160,57,Mujer,3
16/12/2021 19:21:53,164,75,Mujer,7
16/12/2021 19:21:53,174,76,Varon,13
16/12/2021 19:21:59,168,68,Varon,7
16/12/2021 19:21:59,170,77,Varon,5
16/12/2021 19:22:01,168,69,Varon,8
16/12/2021 19:22:02,163,70,Varon,8
16/12/2021 19:22:05,165,55,Mujer,7
16/12/2021 19:22:10,158,47,Mujer,7
16/12/2021 19:22:12,150,51,Mujer,6
16/12/2021 19:22:29,171,75,Varon,5
16/12/2021 19:23:15,178,76,Varon,8
16/12/2021 19:24:53,162,50,Mujer,6
