id,nombre,tipo,tipo_normalizado,nom_mapa,sede,direccion,telefono,e_mail,facebook,web,actividades,instalaciones,calle,altura,direccion_normalizada,barrio,comuna,long,lat
64,17 DE AGOSTO,CLUB DE BARRIO,club_de_barrio,17 De Agosto,UNICA,Albarellos 2935,4572-1106,c17deagosto@yahoo.com.ar -  c17deagosto@hotmail.com,,www.club17deagosto.com.ar,"Baby, futsal masculino y femenino, basquet masculino y femenino, bochas, natacion, gimnasia deportiva, musculacion, tenis, artes marciales. Actividades culturales.",canchas - salones - natatorio,ALBARELLOS AV.,2935,ALBARELLOS AV. 2935,Villa Pueyrredon,Comuna 12,-58.510695,-34.577997
231,25 DE MAYO 1810,CLUB DE BARRIO,club_de_barrio,25 De Mayo 1810,,Cosquin 1651,4687-5179,,,,,,COSQUIN,1651,COSQUIN 1651,Mataderos,Comuna 9,-58.513878,-34.655559
34,AGRONOMIA CENTRAL,CLUB DE BARRIO,club_de_barrio,Agronomia Central,UNICA,Bauness 958,4524-2225,clubagronomiacentral@gmail.com,Club Agronomia Central,www.clubagronomiacentral.wordpress.com,"voley, basquet, baby fútbol, patin, boxeo, gimnasia, futsal, fútbol femenino",canchas - salon,BAUNESS,958,BAUNESS 958,Parque Chas,Comuna 15,-58.474609,-34.589479
188,AGRUPACION SAN JORGE,CLUB,club,Agrupacion San Jorge,UNICA,VILELA 3340,4542-0585,,,,"Escuela de fútbol infantil en cancha de césped, escuela de fútbol femenino, fútbol femenino en cancha de césped, boxeo recreativo mixto, aeróbica mixta, gimnasio de musculación. Actividades culturales.",2 canchas de cesped y tierra  - cancha polideportiva de cemento - natatorio descubierto - solarium recreativo - parrillas  - SUM,VILELA,3340,VILELA 3340,Saavedra,Comuna 12,-58.480102,-34.549171
209,AGRUPACION SUBATLÁNTICA DE EXPEDICIONES SUBMARINAS JULES ROSSI,CLUB DE BARRIO,club_de_barrio,Agrupacion Subatlántica De Expediciones Submarinas Jules Rossi,,Quito 3657,4931-6746,info@ases.org.ar - asesbuceo@fibertel.com.ar,ASES Escuela de Buceo Organización sin fines de lucro,,buceo deportivo,Natatorio -  Cámara Hiperbárica,QUITO,3657,QUITO 3657,Almagro,Comuna 5,-58.417841,-34.616603
123,ALEMAN DE EQUITACION,CLUB,club,Aleman De Equitacion,UNICA,Av. Dorrego 4045,4772-6289,caehipico@hotmail.com,Club Alemán de Equitación,www.clubalemandeequitacion.com,Equitacion - salto - volteo,pistas - caballerizas - pista cubierta - natatorio - boxes - parque  - vallas - confiterias - salon de eventos,DORREGO AV.,4045,DORREGO AV. 4045,Palermo,Comuna 14,-58.417047,-34.562903
39,ALL BOYS DE SAAVEDRA,CLUB DE BARRIO,club_de_barrio,All Boys De Saavedra,UNICA,Besares 3142,4541-8338,allboys_saavedra@yahoo.com.ar,All Boys de Saavedra - Voley,www.allboyssaavedra.com.ar,"Boxeo, artes marciales, danzas, gimnasia aerobica, voley, basquet, futsal, baby, escalada deportiva, indoor bike, pilates. Actividades culturales.",biblioteca - gimnasio - salon - canchas,BESARES,3142,BESARES 3142,Saavedra,Comuna 12,-58.478032,-34.547732
212,ALMAGRO ASOCIACION CIVIL,CLUB,club,Almagro Asociacion Civil,"SEDE CENTRAL, TAMBIEN TIENE ANEXO EN PROVINCIA",Medrano 522,5408-0053,info@clubalmagro.com.ar,Almagro  Equipo deportivo,www.clubalmagro.com.ar,"Baby, patín, básquet, voley, artes marciales, gimnasia con aparatos, natación.","1 cancha futsal - 3 salones - Natatorio - tambien Estadio 3 de febrero  situado en la localidad argentina de José Ingenieros, en el Partido de Tres de Febrero, en la Provincia de Buenos Aires",MEDRANO AV.,522,MEDRANO AV. 522,Almagro,Comuna 5,-58.421204,-34.604427
160,ALMAGRO BOXING CLUB,CLUB DE BARRIO,club_de_barrio,Almagro Boxing Club,UNICA,Diaz Velez 4422,4982-6529 / 4865-1471,almagroboxingclub@gmail.com,Almagro Boxing Club,www.almagroboxingclub.com.ar,Boxeo recreativo. Boxeo competitivo. Gimnasia de Boxeo. Ambos sexos. Todas las edades.,gimnasio,DIAZ VELEZ AV.,4422,DIAZ VELEZ AV. 4422,Almagro,Comuna 5,-58.429500,-34.608815
58,ALVEAR CLUB,CLUB DE BARRIO,club_de_barrio,Alvear Club,UNICA,Jose E. Rodo 4190,4636-0183,alvearclub@outlook.com,,,"Fútbol (cancha de 11 - liga metropolitana, FAFI, CAFI), Futsal (AFA), Taekwondo, Tenis, Tenis de mesa y Gimnasio de aparatos",,"RODO, JOSE E.",4190,"RODO, JOSE E. 4190",Parque Avellaneda,Comuna 9,-58.482928,-34.641955
88,AMERICA DEL SUD,CLUB DE BARRIO,club_de_barrio,America Del Sud,UNICA,Francisco Bilbao 3760,4671-6946,,,,"Fútbol (escuelita y competición -FAFI-), Futsal (AFA), Taekwondo, Patín, Acrobacia, Gimnasia modeladora y aeróbica, Gimnasio de musculación, Natación (escuela y pileta libre), Aquagym y Basquet masculino. Danza árabe y Tango.",natatorio climatizado - salon - gimnasio - cancha,"BILBAO, FRANCISCO AV.",3760,"BILBAO, FRANCISCO AV. 3760",Parque Avellaneda,Comuna 9,-58.473221,-34.644112
142,APOLO MACHAIN SAAVEDRA,CLUB DE BARRIO,club_de_barrio,Apolo Machain Saavedra,UNICA,Machain 3517,4541-1652,,,,"Danza, tango, taekwondo, gimnasia aerobica - modeladora - con aparatos",1 salon,MACHAIN,3517,MACHAIN 3517,Saavedra,Comuna 12,-58.486419,-34.560092
43,ARGENTINO,CLUB DE BARRIO,club_de_barrio,Argentino,UNICA,Albariño 2253,4682-2045,clubargentino.mataderos@gmail.com,,,"baby, gimnasia y artes marciales",biblioteca - 2 salones,ALBARIÑO,2253,ALBARIÑO 2253,Mataderos,Comuna 9,-58.485886,-34.658694
106,ARQUITECTURA,CLUB DE BARRIO,club_de_barrio,Arquitectura,UNICA,Avda. Francisco Beiro 2116,4523-7306,clubarquitectura@hotmail.com,,,"Natación, Tenis, Hockey femenino, Fútbol, Basquet, Patín, Yoga, Taekwondo, Gimnasia artística, Gimnasia (damas y caballeros) y Boxeo. Folklore y Tango.",cancha - salones - natatorio climatizado - canchas de tenis -cancha de hockey sintetica,"BEIRO, FRANCISCO AV.",2116,"BEIRO, FRANCISCO AV. 2116",Agronomia,Comuna 15,-58.484955,-34.589273
192,ASOCIACION ARGENTINA DE SORDOMUDOS,CLUB DE BARRIO,club_de_barrio,Asociacion Argentina De Sordomudos,UNICA,JULIAN ALVAREZ 1544/46,S/T,club.aso@gmail.com,aso1973,www.aso.org.ar,Voley masculino y femenino - fútbol de 11 masculino - futsal masculino y femenino - basquet masculino - bowling masculino y femenino - pesca deportiva,1 salon  - 1 sala de reuniones - 1 patio descubierto,"ALVAREZ, JULIAN",1544,"ALVAREZ, JULIAN 1544",Palermo,Comuna 14,-58.423878,-34.592522
177,ASOCIACION ATLETICA ARGENTINOS JUNIORS,CLUB,club,Asociacion Atletica Argentinos Juniors,CENTRAL POLIDEPORTIVO LAS MALVINAS,Punta Arenas 1271,4551-6887 / 4552-5603,,AAAJOficial,www.argentinosjuniors.com.ar,"Basquet, hockey sobre patines, patin, voley, handbol, escuela de fútbol, boxeo, taekwondo, yoga, bochas, natacion, gimnasia, judo. Colonia de vacaciones.","Pista de patin, 4 natatorios (2 cubiertos), gimnasio para box, canchas de bochas, canchas de paddle, cancha de handball, cancha de hockey, cancha de basquet, cancha de fútbol.",PUNTA ARENAS,1271,PUNTA ARENAS 1271,Paternal,Comuna 15,-58.469666,-34.591473
176,ASOCIACION ATLETICA ARGENTINOS JUNIORS,CLUB,club,Asociacion Atletica Argentinos Juniors,ANEXO ESTADIO DIEGO ARMANDO MARADONA,Gavilán 2151,4581-1243,,AAAJOficial,www.argentinosjuniors.com.ar - www.eltemplodelfútbol.com.ar,FUTBOL. Colonia de vacaciones.,Estadio - Museo,GAVILAN,2151,GAVILAN 2151,Villa Gral. Mitre,Comuna 11,-58.473316,-34.606146
175,ASOCIACION ATLETICA ARGENTINOS JUNIORS,CLUB,club,Asociacion Atletica Argentinos Juniors,ANEXO COMPLEJO FUTBOLISTICO,Av. Lafuente 2105,,,AAAJOficial,www.argentinosjuniors.com.ar,FUTBOL. Colonia de vacaciones.,"Complejo Futbolístico: Centro de Entrenamiento y Formación del Futbol Amateur (C.E.F.F.A.) Un predio de primer nivel. De Lunes a Viernes asisten más de 350 chicos, desde la reserva hasta las categorías menores de infantiles. El personal se compone de 1 Intendente y 8 empleados. Todas las divisiones tienen ropa de entrenamiento. Superficie: 90.000 m2 aproximadamente / Cantidad de canchas: 5 de césped natural / Estacionamiento con capacidad de 300 vehículos / Obras previstas: Cancha de césped sintético. Equipamiento: 5 Riego por aspersión en las 5 canchas. / 1 arenero para entrenamiento de arqueros / 1 cancha de fútbol 8 / 1 confitería / 4 vestuarios con sus correspondientes utilerías. / 1 salón utilizado como cambiador de infantiles / 1 vestuario para árbitros / 1 vestuario para técnicos / 1 Oficina para coordinadores / 2 habitaciones para concentración para 24 personas / 1 consultorio médico / 1 depósito para materiales de entrenamiento / 1 lavandería / 1 gimnasio / 1 tribuna sobre la cancha Nro.1, capacidad: 400 personas.",LAFUENTE AV.,2105,LAFUENTE AV. 2105,Villa Soldati,Comuna 8,-58.453502,-34.651102
290,ASOCIACION ATLETICA PARQUE CHACABUCO,CLUB DE BARRIO,club_de_barrio,Asociacion Atletica Parque Chacabuco,UNICA - ADMINISTRATIVA,DAVILA 1330 3º Piso A,,aapchacabuco@gmail.com,Asociacion Atletica Parque Chacabuco,,Atletismo,Entrenan en el Polideportivo Chacabuco,Asamblea,,ASAMBLEA AV. y CURAPALIGUE AV.,Parque Chacabuco,Comuna 7,-58.445878,-34.636654
215,ASOCIACION ATLETICO PRIMERA JUNTA,CLUB DE BARRIO,club_de_barrio,Asociacion Atletico Primera Junta,,Zuviria 250,4922-1796,,,,"baby, futsal, fútbol femenino, murga",1 cancha - 1 salon,ZUVIRIA,250,ZUVIRIA 250,Parque Chacabuco,Comuna 7,-58.429907,-34.628853
99,ASOCIACION BANCARIA,CLUB,club,Asociacion Bancaria,SEDE ADMINISTRATIVA (Y TIENEN ANEXOS EN PROVINCIA),Maipu 62 3º 0f 17,4343-6126 / 4342-2117,abadargentina@gmail.com,ASOCIACION BANCARIA ARGENTINA DE DEPORTES,www.abadargentina.com.ar,"Fútbol, básquet, tenis, tiro, pesca, voley, bowling, golf y ajedrez.","Sin instalaciones, utilizan instalaciones de asociaciones y clubes miembros",MAIPU,62,MAIPU 62,San Nicolas,Comuna 1,-58.376486,-34.607487
