long,lat,fecha_instalacion,elemento,linea_1,linea_2,linea_3,observaciones,calle_nombre,calle_altura,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.39235243,-34.58329885,2012-04-01 00:00:00,REFUGIO,67,,,NUEVO,"ALCORTA FIGUEROA, AV.",2261,Recoleta,Comuna 2,1425.0,C1425CKB
-58.4043056,-34.57684461,2012-04-01 00:00:00,REFUGIO,130,,,NUEVO,"ALCORTA FIGUEROA, AV.",3431,Palermo,Comuna 14,1425.0,C1425CLA
-58.41660868,-34.56748906,2012-04-01 00:00:00,REFUGIO,37,,,NUEVO,"ALCORTA FIGUEROA, AV.",4965,Palermo,COMUNA 14,1425.0,C1425CMC
-58.430305952075635,-34.556884201045385,2012-04-01 00:00:00,REFUGIO,37,160,,NUEVO,"ALCORTA FIGUEROA, AV.",6095,Palermo,COMUNA 14,1426.0,C1426CBK
-58.4318676899179,-34.55561307463997,2012-04-01 00:00:00,REFUGIO,34,130,,NUEVO,"ALCORTA FIGUEROA, AV.",6391,Palermo,COMUNA 14,1426.0,C1426CCA
-58.44881442540115,-34.55518391728499,2012-04-01 00:00:00,REFUGIO,130,,,NUEVO,"DEL LIBERTADOR, AV.",6131,Belgrano,COMUNA 13,1428.0,C1428ARE
-58.45068662614026,-34.55301290241467,2012-04-01 00:00:00,REFUGIO,130,,,NUEVO,"DEL LIBERTADOR, AV.",6389,Belgrano,COMUNA 13,1428.0,C1428ARG
-58.45278816334073,-34.55094699558986,2012-04-01 00:00:00,REFUGIO,107,130,,NUEVO,"DEL LIBERTADOR, AV.",6664,Belgrano,COMUNA 13,1428.0,C1428ARW
-58.45657039084006,-34.54716026124217,2012-04-01 00:00:00,REFUGIO,29,,,NUEVO,"DEL LIBERTADOR, AV.",7031,Nu\u00f1ez,COMUNA 13,1429.0,C1429BMD
-58.4568058843399,-34.54728205954919,2012-04-01 00:00:00,REFUGIO,28,130,,NUEVO,"DEL LIBERTADOR, AV.",7118,Nu\u00f1ez,COMUNA 13,1429.0,C1429BMR
