long,lat,id_sensor,sistema_co,ubicacion,ubicacion_,año_insta,direccion_,calle,cruce,barrio,comuna
-58.403515619703796,-34.6188391603797,1,COUNTITS,AV. JUJUY Y AV. INDEPENDENCIA,,2015,JUJUY AV. E INDEPENDENCIA AV.,JUJUY AV.,INDEPENDENCIA AV.,BALVANERA,3
-58.39196392495345,-34.609168390346426,2,COUNTITS,AV. ENTRE RIOS Y AV. RIVADAVIA,,2015,ENTRE RIOS AV. Y RIVADAVIA AV.,ENTRE RIOS AV.,RIVADAVIA AV.,BALVANERA,3
-58.382524648358284,-34.599089543017136,3,COUNTITS,AV. CORDOBA Y CERRITO,,2015,CORDOBA AV. Y CERRITO,CORDOBA AV.,CERRITO,RETIRO,1
-58.39171352043498,-34.6138240101857,4,COUNTITS,AV. BELGRANO Y AV. ENTRE RIOS (SOBRE B),BELGRANO AV.,2016,BELGRANO AV. Y ENTRE RIOS AV.,BELGRANO AV.,ENTRE RIOS AV.,BALVANERA,3
-58.39171352043498,-34.6138240101857,5,COUNTITS,AV. BELGRANO Y AV. ENTRE RIOS (SOBRE ER),ENTRE RIOS AV.,2016,BELGRANO AV. Y ENTRE RIOS AV.,BELGRANO AV.,ENTRE RIOS AV.,BALVANERA,3
-58.38272121390751,-34.5954658134619,6,COUNTITS,AV. SANTA FE Y CERRITO (SOBRE C),CERRITO,2016,SANTA FE AV. Y CERRITO,SANTA FE AV.,CERRITO,RETIRO,1
-58.38272121390751,-34.5954658134619,7,COUNTITS,AV. SANTA FE Y CERRITO (SOBRE SF),SANTA FE AV.,2016,SANTA FE AV. Y CERRITO,SANTA FE AV.,CERRITO,RETIRO,1
-58.38083915848385,-34.60608358926496,8,COUNTITS,CARLOS PELLEGRINI Y TTE. GRAL. JUAN D. PERON,,2015,"PELLEGRINI, CARLOS Y PERON, JUAN DOMINGO, TTE. GENERAL","PELLEGRINI, CARLOS","PERON, JUAN DOMINGO, TTE. GENERAL",SAN NICOLAS,1
-58.403724400784654,-34.59845447146228,9,COUNTITS,AV. CORDOBA Y AV. PUEYRREDON,,2015,CORDOBA AV. Y PUEYRREDON AV.,CORDOBA AV.,PUEYRREDON AV.,BALVANERA,3
-58.40217316211711,-34.623779257788364,10,COUNTITS,AV. JUJUY Y AV. SAN JUAN,,2015,JUJUY AV. Y SAN JUAN AV.,JUJUY AV.,SAN JUAN AV.,SAN CRISTOBAL,3
-58.39228965665493,-34.604435273925354,11,COUNTITS,AV. CALLAO Y AV. CORRIENTES,,2015,CALLAO AV. Y CORRIENTES AV.,CALLAO AV.,CORRIENTES AV.,BALVANERA,3
-58.40235084014388,-34.59444232074435,12,COUNTITS,AV. SANTA FE Y AV. PUEYRREDON (SOBRE P),PUEYRREDON AV.,2016,SANTA FE AV. Y PUEYRREDON AV.,SANTA FE AV.,PUEYRREDON AV.,RECOLETA,2
-58.40235084014388,-34.59444232074435,13,COUNTITS,AV. SANTA FE Y AV. PUEYRREDON (SOBRE SF),SANTA FE AV.,2016,SANTA FE AV. Y PUEYRREDON AV.,SANTA FE AV.,PUEYRREDON AV.,RECOLETA,2
-58.391894414417706,-34.59176378941352,14,COUNTITS,AV. CALLAO Y AV. LAS HERAS,,2016,CALLAO AV. Y LAS HERAS GENERAL AV.,CALLAO AV.,LAS HERAS GENERAL AV.,RECOLETA,2
-58.38197226850203,-34.58869872611619,15,COUNTITS,AV. DEL LIBERTADOR Y CERRITO (SOBRE L),LIBERTADOR AV.,2016,DEL LIBERTADOR AV. Y CERRITO,DEL LIBERTADOR AV.,CERRITO,RETIRO,1
-58.38197226850203,-34.58869872611619,16,COUNTITS,AV. DEL LIBERTADOR Y CERRITO (SOBRE C),CERRITO,2016,DEL LIBERTADOR AV. Y CERRITO,DEL LIBERTADOR AV.,CERRITO,RETIRO,1
-58.381758248249426,-34.613129302818315,17,COUNTITS,AV. BELGRANO Y LIMA,,2016,BELGRANO AV. Y LIMA,BELGRANO AV.,LIMA,MONSERRAT,1
-58.381514880155045,-34.617660112719555,18,COUNTITS,AV. INDEPENDENCIA Y LIMA,,2016,INDEPENDENCIA AV. Y LIMA,INDEPENDENCIA AV.,LIMA,MONSERRAT,1
-58.38068751548874,-34.61764511844361,19,COUNTITS,AV. 9 DE JULIO (SENTIDO SUR) Y AV. INDEPENDENCIA,,2016,9 DE JULIO AV. E INDEPENDENCIA AV.,9 DE JULIO AV.,INDEPENDENCIA AV.,MONSERRAT,1
-58.39170025904135,-34.61815807125224,20,COUNTITS,AV. INDEPENDENCIA Y AV. ENTRE RIOS,,2016,INDEPENDENCIA AV. Y ENTRE RIOS AV.,INDEPENDENCIA AV.,ENTRE RIOS AV.,BALVANERA,3
-58.38194421583132,-34.60908824622417,21,COUNTITS,AV. DE MAYO Y LIMA,,2016,DE MAYO AV. Y LIMA,DE MAYO AV.,LIMA,MONSERRAT,1
-58.42101144407268,-34.611479483144414,22,COUNTITS,AV. RIVADAVIA Y AV. MEDRANO,,2016,RIVADAVIA AV. Y MEDRANO AV.,RIVADAVIA AV.,MEDRANO AV.,ALMAGRO,5
-58.39293417657194,-34.59963642066462,23,COUNTITS,AV. CORDOBA Y AV. CALLAO,,2016,CORDOBA AV. Y CALLAO AV.,CORDOBA AV.,CALLAO AV.,RECOLETA,2
-58.39331530110624,-34.59586242583348,24,COUNTITS,AV. SANTA FE Y AV. CALLAO (SOBRE SF),SANTA FE AV.,2016,SANTA FE AV. Y CALLAO AV.,SANTA FE AV.,CALLAO AV.,RECOLETA,2
-58.39331530110624,-34.59586242583348,25,COUNTITS,AV. SANTA FE Y AV. CALLAO (SOBRE C),CALLAO AV.,2016,SANTA FE AV. Y CALLAO AV.,SANTA FE AV.,CALLAO AV.,RECOLETA,2
-58.38143064375975,-34.62216165909848,26,COUNTITS,AV. SAN JUAN Y LIMA (SUR),,2016,SAN JUAN AV. Y LIMA,SAN JUAN AV.,LIMA,CONSTITUCION,1
-58.38143064375975,-34.62216165909848,27,COUNTITS,AV. SAN JUAN Y LIMA (NORTE),,2016,SAN JUAN AV. Y LIMA,SAN JUAN AV.,LIMA,CONSTITUCION,1
-58.516574025272476,-34.66147508649517,28,COUNTITS,AV. JUAN BAUTISTA ALBERDI Y SALADILLO (OESTE),,2016,"ALBERDI, JUAN BAUTISTA AV. Y SALADILLO","ALBERDI, JUAN BAUTISTA AV.",SALADILLO,MATADEROS,9
-58.516574025272476,-34.66147508649517,29,COUNTITS,AV. JUAN BAUTISTA ALBERDI Y SALADILLO (ESTE),,2016,"ALBERDI, JUAN BAUTISTA AV. Y SALADILLO","ALBERDI, JUAN BAUTISTA AV.",SALADILLO,MATADEROS,9
-58.388452216846034,-34.658189437773444,30,COUNTITS,AV. VELEZ SARFIELD Y ZEPITA (SUR),,2016,VELEZ SARSFIELD AV. Y ZEPITA,VELEZ SARSFIELD AV.,ZEPITA,BARRACAS,4
-58.388452216846034,-34.658189437773444,31,COUNTITS,AV. VELEZ SARFIELD Y ZEPITA (NORTE),,2016,VELEZ SARSFIELD AV. Y ZEPITA,VELEZ SARSFIELD AV.,ZEPITA,BARRACAS,4
-58.523879842770306,-34.65589319298612,32,COUNTITS,AV. EMILIO CASTRO Y SALADILLO (OESTE),,2016,"CASTRO, EMILIO AV. Y SALADILLO","CASTRO, EMILIO AV.",SALADILLO,LINIERS,9
-58.523879842770306,-34.65589319298612,33,COUNTITS,AV. EMILIO CASTRO Y SALADILLO (ESTE),,2016,"CASTRO, EMILIO AV. Y SALADILLO","CASTRO, EMILIO AV.",SALADILLO,LINIERS,9
-58.40491455523525,-34.61463830610079,34,COUNTITS,AV. JUJUY Y AV. BELGRANO (NORTE),,2016,JUJUY AV. Y BELGRANO AV.,JUJUY AV.,BELGRANO AV.,BALVANERA,3
-58.40491455523525,-34.61463830610079,35,COUNTITS,AV. JUJUY Y AV. BELGRANO (SUR),,2016,JUJUY AV. Y BELGRANO AV.,JUJUY AV.,BELGRANO AV.,BALVANERA,3
-58.486622145843846,-34.64707651293008,36,COUNTITS,AV. DIRECTORIO Y BRUIX (SOBRE D),,2016,DIRECTORIO AV. Y BRUIX AV.,DIRECTORIO AV.,BRUIX AV.,PARQUE AVELLANEDA,9
-58.486622145843846,-34.64707651293008,37,COUNTITS,AV. DIRECTORIO Y BRUIX (SOBRE B),,2016,DIRECTORIO AV. Y BRUIX AV.,DIRECTORIO AV.,BRUIX AV.,PARQUE AVELLANEDA,9
-58.39149170904786,-34.622732580572674,38,COUNTITS,AV. SAN JUAN Y AV. ENTRE RIOS,,2016,SAN JUAN AV. Y ENTRE RIOS AV.,SAN JUAN AV.,ENTRE RIOS AV.,SAN CRISTOBAL,3
-58.40596860772536,-34.61011987251056,39,COUNTITS,AV. RIVADAVIA Y AV. PUEYRREDON,,2016,RIVADAVIA AV. Y PUEYRREDON AV.,RIVADAVIA AV.,PUEYRREDON AV.,BALVANERA,3
-58.40596860772536,-34.61011987251056,40,COUNTITS,AV. RIVADAVIA Y AV. PUEYRREDON,,2016,RIVADAVIA AV. Y PUEYRREDON AV.,RIVADAVIA AV.,PUEYRREDON AV.,BALVANERA,3
-58.4663036945236,-34.536687686836764,1,TRAFFICAMS,AV. LIBERTADOR Y PICO,,2014,DEL LIBERTADOR AV. Y PICO,DEL LIBERTADOR AV.,PICO,NUÑEZ,13
-58.507878970705214,-34.57070818951249,2,TRAFFICAMS,AV. CONSTITUYENTES Y ÑUNEZ,,2012,DE LOS CONSTITUYENTES AV. Y NUÑEZ,DE LOS CONSTITUYENTES AV.,NUÑEZ,VILLA URQUIZA,12
-58.49185972654266,-34.55046754310662,3,TRAFFICAMS,AV.  DONADO Y ARIAS,,2012,DONADO Y ARIAS,DONADO,ARIAS,SAAVEDRA,12
-58.525602342263056,-34.634584903605855,4,TRAFFICAMS,AV. JUAN B JUSTO Y MADERO,,2014,"JUSTO, JUAN B. AV. Y MADERO","JUSTO, JUAN B. AV.",MADERO,VERSALLES,10
-58.52642082257346,-34.63914839824388,5,TRAFFICAMS,AV. RIVADAVIA Y  MONTIEL,,2013,RIVADAVIA AV. Y MONTIEL,RIVADAVIA AV.,MONTIEL,LINIERS,9
-58.515621354431296,-34.660936552519196,6,TRAFFICAMS,AV. JUAN BAUTISTA ALBERDE Y JOSE LEON SUAREZ,,2011,"ALBERDI, JUAN BAUTISTA AV. Y SUAREZ, JOSE LEON","ALBERDI, JUAN BAUTISTA AV.","SUAREZ, JOSE LEON",MATADEROS,9
-58.416411160659415,-34.65472995047817,7,TRAFFICAMS,AV. SAENZ Y BEAZLEY,,2013,SAENZ AV. Y BEAZLEY,SAENZ AV.,BEAZLEY,NUEVA POMPEYA,4
-58.381041666429596,-34.619756510062345,8,TRAFFICAMS,BAJADA DE LA AU. 25 DE MAYO ALTURA 9 DE JULIO Y CARLOS CALVO,,2014,"9 DE JULIO AV. Y CALVO, CARLOS",9 DE JULIO AV.,"CALVO, CARLOS",CONSTITUCION,1
-58.38206636324108,-34.59158552747221,9,TRAFFICAMS,"BAJADA DE LA AU. ILLIA , 9 DE JULIO Y ARROYO",,2014,9 DE JULIO AV. Y ARROYO,9 DE JULIO AV.,ARROYO,RETIRO,1
-58.38502878242671,-34.587034850969445,10,TRAFFICAMS,"BAJADA DE LA AU. ILLIA , AV. DEL LIBERTADOR Y RODRIGUEZ PEÑA",,2013,DEL LIBERTADOR AV. Y RODRIGUEZ PEÑA,DEL LIBERTADOR AV.,RODRIGUEZ PEÑA,RECOLETA,2
-58.40786274835554,-34.56726817778052,11,TRAFFICAMS,AV. SARMIENTO Y AV. CASARES,,2013,SARMIENTO AV. Y CASARES AV.,SARMIENTO AV.,CASARES AV.,PALERMO,14
-58.409041,-34.566889,12,TRAFFICAMS,AV. SARMIENTO Y BAJADA DE LA AU. INT CANTILO,,2011,,,,PALERMO,14
